Sample Identifier,Selected,Classroom
England/ALDP-2D1A4B9/2021,no,
PER/covper015/2020,no,
NGA/CV-1/2020,no,
SouthAfrica/NHLS-UCT-GS-0277/2020,no,
OV087963,no,
AUS/VIC2673/2020,no,
SouthAfrica/NHLS-UCT-GS-0069/2020,no,
PER/covper083/2020,no,
KEN/K31192/2020,no,
LR963445,no,
SouthAfrica/NHLS-UCT-GS-0084/2020,no,
TUN/TUN_ADAGE_9-12622/2020,no,
OV081844,no,
Switzerland/ZH-UZH-1000477796/2020,no,
OX590001,no,
USA/WA-S1998/2020,no,
OV087982,no,
CHL/Santiago-JDP7073/2020,no,
CHL/Santiago-PUC_MVL_0045/2020,no,
SouthAfrica/NHLS-UCT-GS-1104/2020,no,
LR963455,no,
OX593197,no,
England/ALDP-95549E/2020,no,
SouthAfrica/NHLS-UCT-GS-3097/2020,no,
NZL/20CV0496/2020,no,
URY/931_del4/2020,no,
ARG/Cordoba-3719/2020,no,
CHL/Santiago-PUC_MVL_0183/2020,no,
CHL/Santiago-PUC_MVL_0391/2020,no,
CHL/Santiago-5120649/2020,no,
Cat/CHL/UCH_NRL_025/2020,no,
IND/GBRC488a/2020,no,
USA/WI-UW-1896/2020,no,
NGA/CV636/2020,no,
England/QEUH-7A9F8D/2020,no,
NZL/21CV0063/2021,no,
GHA/nmimr-SARS-CoV-2-NTRA-15381/2020,no,
NZL/21MV0426/2021,no,
BTN/RCDC0028-SV200584/2020,no,
England/CAMC-CB6DE8/2020,no,
England/QEUH-9B79AA/2020,no,
SouthAfrica/NHLS-UCT-GS-0022/2020,no,
SouthAfrica/NHLS-UCT-GS-4268/2020,no,
SouthAfrica/NHLS-UCT-GS-2131/2020,no,
SouthAfrica/NHLS-UCT-GP-6336/2021,no,
SouthAfrica/NHLS-UCT-GS-3585/2020,no,
SouthAfrica/NHLS-UCT-GS-9890/2021,no,
OX604214,no,
hCoV-19/Peru/LIM-UPCH-0197/2020,no,
PER/un-CDC-3958226-001/2020,no,
PER/covper019/2020,no,
TUN/TUN_ADAGE_16-18212/2020,no,
PER/covper021/2020,no,
PER/CF00802-SW-V0201/2021,no,
PER/CF01402-SW-V0201/2021,no,
Argentina/UW21041958464/2021,no,
ISR/hCov-19-Israel-CVL-n-6106/2020,no,
NZL/20CV0614/2020,no,
England/ALDP-9EDA11/2020,no,
BHR/920455640_S10_L001/2020,no,
IND/GBRC433/2020,no,
JPN/HiroHC199c/2020,no,
Japan/Donner286/2020,no,
JPN/HiroHC151c/2020,no,
Japan/Donner283/2020,no,
JPN/HiroC22c/2020,no,
Homosapeins/JPN/HiroHC101c/2020,no,
BGD/BCSIR_NILMRC_018/2020,no,
BGD/NGRI-R4-3/2020,no,
BGD/BCSIR_NILMRC_293/2020,no,
Bangladesh/ECHD_01077/2020,no,
AUS/VIC4644/2020,no,
AUS/VIC7196/2020,no,
AUS/VIC11344/2020,no,
AUS/VIC10438/2020,no,
AUS/VIC17049/2020,no,
AUS/VIC2394/2020,no,
AUS/GC-251/2020,no,
AUS/VIC16205/2020,no,
AUS/VIC15692/2020,no,
PRY/202102967_15246/2021,no,
PRY/202102924_60631/2021,no,
PRY/WOR12903A667_202103294_2-4710628/2020,no,
PRY/202102866_29987/2021,no,
Brazil/UW20122384976/2020,no,
Brazil/UW20121545673/2020,no,
Brazil/UW20112320823/2020,no,
BRA/PR-HF309/2021,no,
BRA/SC-NVBS2998GENOV045615504772/2021,no,
BRA/MS-NVBS1107GENOV45367331886/2021,no,
BRA/RJ-NXBS92GENOV700905554980/2021,no,
BRA/PR-HF104/2021,no,
BRA/GO-NVBS1174GENOV827698931849/2021,no,
BRA/ILMD2100270/2021,no,
COL/SEC-0352N/2021,no,
KEN/SS736/2021,no,
England/ALDP-14CBEA6/2021,no,
SouthAfrica/NHLS-UCT-AM-Z014/2021,no,
England/QEUH-13F4AED/2021,no,
IRQ/Erbil4/2021,no,
Scotland/QEUH-13E9C5E/2021,no,
NZL/21MV0167/2021,no,
GAB/15139_Gabon/2021,no,
NZL/21CV0007/2021,no,
USA/FL-BPHL-5344/2021,no,
THA/C22143/2021,no,
England/RAND-12BFFFF/2021,no,
KEN/C92025/2021,no,
KEN/SS850/2021,no,
Wales/ALDP-11D5B2D/2021,no,
